house_id,user_id,user_names,electricity_bill,water_bill,utility_bill
7c41ad97-2dea-4827-bbc7-34cb7abdd5c4,L6706523,Jennifer Cisneros,299.1286836273952,19.508133665056555,56.59043730888076
efc1181e-22f9-4cff-b0aa-f4a098711ff1,M1773750,Dr. Cynthia Coleman,204.40587847172483,12.97258816811469,91.20015359622569
da5da9c0-7629-430b-82bb-f9d578ef97b7,F3184734,Richard Mcclure,90.25618168496747,14.466746186797504,78.72331695153953
8ffea276-a03d-4271-bc54-b0d82e1d9270,Y3562442,Thomas Rice,150.69662237111027,6.329105392864873,63.679812807216116
fd088b0d-9768-43cf-9281-0dc23f603512,F7998519,Gary Clayton,238.4570729433758,46.36415053846528,48.319691277956835
517f83cb-8e49-4f97-b257-b26e1d17f74a,J7156910,Garrett Price,142.28449412213956,32.94423875740664,93.17796547185009
b8e1fdb4-78f3-4278-9d46-aff9d3d739e8,R5711135,Kathleen Thomas,173.2690397226305,10.69004651842177,73.46116731500277
53650994-ba6c-468b-9171-8ec237adaab6,V9658969,Anita Stewart,225.65204610526712,5.0832009041236015,50.628556976312815
1480a41f-0cb9-44a2-8dd5-d756aa623847,L8049323,Melanie Kerr,283.40516363095503,47.69226474668453,37.345822578441584
ec263750-285b-46ca-b221-d0c9a31a269f,W7873382,Eugene Lopez,244.3570443593936,19.987549773634427,39.332603001165054
